Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Acc	MaxAcc	MinAcc	MaxTrialAcc	MaxMaxTrialAcc	MinMaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
56	3.373325	1.0118494	4.319748	0.0	118.958336	0.32731482	0.65000004	0.05	0.38000003	0.65000004	0.05	0.3	2.3352895	253.0	109.208336	4.5	9.75	0.0	8.986044	5.5	151.05534029006958
57	3.3986156	0.9546081	4.152381	0.50666666	126.375	0.3041284	0.6	0.0	0.35714287	0.6	0.15	0.45000002	2.1772916	208.0	116.916664	4.5416665	9.458333	0.0	10.08061	5.7083335	151.01092648506165
58	3.4997978	0.9432211	4.252222	0.2	114.375	0.33348212	0.65000004	0.05	0.40555558	0.65000004	0.15	0.4	2.2088978	162.0	103.541664	4.6666665	10.833333	0.0	8.606498	5.875	157.0989053249359
59	3.0732014	1.2315542	4.4432993	0.9230769	146.54167	0.30400002	0.6	0.05	0.39999998	0.6	0.05	0.3	2.4214413	190.0	135.58333	4.1666665	10.958333	0.0	8.388549	5.5416665	151.1489815711975
60	3.5828133	0.74055725	4.1880093	1.6	110.916664	0.29035085	0.6	0.1	0.36874998	0.6	0.1	0.25	2.4423382	239.0	100.458336	4.75	10.458333	0.0	9.019338	5.7916665	157.28514456748962
61	3.2340515	1.2877004	4.3267975	0.0	122.458336	0.4107843	0.8	0.05	0.5428571	0.8	0.25	0.3	2.5100126	187.0	113.5	4.25	8.958333	0.0	9.696071	5.0833335	147.26207494735718
62	3.5089207	1.0205598	4.584835	0.56	121.375	0.38271028	0.7	0.05	0.45454547	0.7	0.1	0.3	2.1530564	257.0	113.166664	4.4583335	8.208333	0.0	12.132361	5.2916665	156.2901999950409
63	3.2828977	1.1005731	4.1029634	0.6	146.125	0.31588793	0.65000004	0.0	0.46111113	0.65000004	0.3	0.2	2.3830864	189.0	135.375	4.4583335	10.75	0.0	13.820233	5.5416665	154.59311628341675
64	3.0916421	1.2801695	4.2598577	0.0	136.0	0.35101014	0.65000004	0.1	0.43333334	0.65000004	0.1	0.25	2.2921805	231.0	127.666664	4.125	8.333333	0.0	9.883277	5.2916665	149.43142676353455
65	3.6832294	0.59459686	4.2954545	1.7385621	120.333336	0.3448276	0.75	0.1	0.47916666	0.75	0.2	0.3	2.0492697	255.0	110.375	4.8333335	9.958333	0.0	10.455641	6.0416665	159.53133368492126
66	3.5023353	0.915631	4.3948364	1.1764706	113.166664	0.34587157	0.7	0.05	0.425	0.7	0.2	0.35	2.3925838	160.0	103.791664	4.5416665	9.375	0.0	10.760953	5.3333335	156.88531255722046
67	3.2861147	1.1886194	4.490696	0.46153846	135.5	0.35	0.7	0.15	0.51875	0.7	0.3	0.25	2.4549394	243.0	125.791664	4.25	9.708333	0.0	9.491094	5.375	148.5019211769104
68	3.2704785	0.9829749	4.1980953	0.52307695	139.79167	0.36320758	0.7	0.05	0.435	0.7	0.15	0.2	2.486915	267.0	131.0	4.4166665	8.791667	0.0	12.560489	5.5416665	156.72356820106506
69	3.1327946	1.3009522	4.413072	0.2	137.08333	0.36666664	0.75	0.0	0.5	0.75	0.2	0.1	2.2205322	165.0	128.5	4.125	8.583333	0.0	14.146543	5.125	143.05937218666077
70	3.1902692	1.2993271	4.6301475	0.0	136.45833	0.38535357	0.7	0.05	0.47857141	0.7	0.3	0.3	2.143974	225.0	127.583336	4.125	8.875	0.0	10.020566	5.0	152.85980653762817
71	3.3168259	1.2131361	4.7253613	1.0285714	130.66667	0.40588236	0.75	0.05	0.45	0.75	0.25	0.25	2.4212554	213.0	121.25	4.25	9.416667	0.0	9.1830225	5.2916665	150.99822211265564
72	3.3943799	0.9797733	4.7562637	1.7636364	115.916664	0.38925236	0.90000004	0.05	0.51666665	0.90000004	0.3	0.4	2.0902388	238.0	106.833336	4.4583335	9.083333	0.0	12.374629	5.2916665	157.04155349731445
73	3.2963362	0.9890458	4.417143	0.61333334	140.08333	0.38380957	0.7	0.05	0.5	0.7	0.25	0.25	2.4391453	274.0	129.54167	4.375	10.541667	0.0	10.975051	5.5416665	154.62436270713806
74	3.0389452	1.4188589	4.2917094	0.0	118.708336	0.36804125	0.7	0.05	0.4772727	0.7	0.25	0.35	1.9790932	236.0	109.875	4.0416665	8.833333	0.0	6.9211674	4.9583335	148.12964701652527
75	2.7326176	1.3579211	4.2107844	0.2	155.45833	0.3353261	0.65000004	0.1	0.4555556	0.65000004	0.2	0.2	2.368075	216.0	147.54167	3.8333333	7.9166665	0.0	12.086881	5.0833335	145.57932782173157
76	3.1673105	1.3434647	4.473533	0.0	134.875	0.4510204	0.8	0.1	0.6388889	0.8	0.5	0.35	2.1473186	262.0	126.958336	4.0833335	7.9166665	0.0	11.261566	4.75	149.47751927375793
77	3.00297	1.2506665	4.253175	0.0	143.08333	0.34432986	0.65000004	0.0	0.4357143	0.65000004	0.25	0.3	2.2661858	215.0	133.54167	4.0416665	9.541667	0.0	9.410829	5.375	148.13029861450195
78	2.8573806	1.529377	4.3927274	0.2	137.375	0.42608693	0.8	0.05	0.55	0.8	0.2	0.4	2.3132653	214.0	129.54167	3.8333333	7.8333335	0.0	13.211062	4.7916665	146.77000093460083
79	3.675541	0.75074667	4.5317044	1.5846153	116.416664	0.40973452	0.75	0.15	0.47727272	0.75	0.15	0.35	2.089972	242.0	105.458336	4.7083335	10.958333	0.0	9.591252	5.9166665	155.2662968635559
80	3.2825243	1.2080252	4.4476857	0.44444445	113.583336	0.39471155	0.75	0.05	0.46363637	0.75	0.15	0.45000002	1.9878298	173.0	104.625	4.3333335	8.958333	0.0	11.035144	5.125	154.84791088104248
81	3.0199091	1.2701509	4.4398212	0.6	158.04167	0.38762885	0.7	0.2	0.47727278	0.7	0.25	0.25	2.1658542	273.0	148.91667	4.0416665	9.125	0.0	16.61281	5.4166665	144.52801823616028
82	3.5608747	1.17374	4.622129	0.0	115.5	0.44252342	0.8	0.15	0.65000004	0.8	0.45000002	0.4	2.0310745	206.0	106.333336	4.4583335	9.166667	0.0	9.273736	5.3333335	151.6755051612854
83	2.6301053	1.2832336	4.2343435	0.2	158.5	0.39886367	0.65000004	0.1	0.50625	0.65000004	0.3	0.25	2.0849702	187.0	150.45833	3.6666667	8.041667	0.0	14.992274	4.8333335	143.66975808143616
84	3.6368396	0.99263537	4.490675	0.50666666	130.75	0.4009009	0.8	0.05	0.51000005	0.8	0.15	0.35	2.2027078	189.0	120.458336	4.625	10.291667	0.0	10.890399	5.6666665	152.33656191825867
85	3.1219883	1.3120931	4.3921213	0.2	119.666664	0.38069308	0.75	0.0	0.48333338	0.75	0.15	0.35	2.0187483	202.0	110.166664	4.2083335	9.5	0.0	9.577264	5.1666665	151.35074710845947
86	3.3520613	1.016436	4.418889	0.76923084	123.25	0.38738316	0.75	0.0	0.53000003	0.75	0.25	0.25	2.2893696	235.0	113.541664	4.4583335	9.708333	0.0	9.586723	5.75	155.57180166244507
87	3.1914837	1.178454	4.2012987	0.2	130.5	0.3950495	0.7	0.0	0.4318182	0.7	0.1	0.25	2.2792633	216.0	120.625	4.2083335	9.875	0.0	8.098251	5.25	150.05199027061462
88	3.6469219	0.8345398	4.841515	0.96000004	105.833336	0.3950893	0.8	0.05	0.5	0.8	0.05	0.25	2.4119265	179.0	95.5	4.6666665	10.333333	0.0	9.737469	6.0833335	162.59523630142212
89	3.3096168	1.2522038	4.3268375	0.45333335	116.916664	0.38300976	0.7	0.1	0.465	0.7	0.15	0.25	2.4442887	275.0	107.041664	4.2916665	9.875	0.0	7.8489494	5.4583335	154.22144532203674
90	3.246318	1.4800446	4.503297	0.0	134.20833	0.36633664	0.75	0.1	0.54285717	0.75	0.25	0.4	2.0363631	174.0	126.125	4.2083335	8.083333	0.0	17.8572	5.0	155.74149203300476
91	3.173165	1.3587946	4.399394	0.48421052	126.875	0.42400002	0.8	0.05	0.53333336	0.8	0.15	0.15	2.651184	263.0	117.666664	4.1666665	9.208333	0.0	6.9353414	5.375	148.92102670669556
92	2.8063653	1.3482322	4.4061537	0.0	158.16667	0.456044	0.8	0.15	0.59375	0.8	0.2	0.4	1.8262861	254.0	149.25	3.7916667	8.916667	0.0	11.390096	4.75	143.65003418922424
93	2.8107264	1.3104969	4.492592	0.2	154.125	0.439011	0.75	0.1	0.5388889	0.75	0.3	0.25	2.0809836	225.0	145.5	3.7916667	8.625	0.0	12.660518	5.125	144.5442979335785
