Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
64	3.917361	0.2752486	4.4755554	3.28	83.75	0.029707707	0.27502218	1.8736943	0.06407492	0.3816667	0.75	0.05	0.5	0.25	2.2524638	172.0	74.541664	5.0	9.208333	0.0	8.355579	5.125	176.56222796440125
65	3.707379	0.5561308	4.5068264	2.45	137.375	0.017686378	0.21950479	1.9425548	0.061309695	0.36403504	0.75	0.0	0.49285713	0.3	2.231343	144.0	125.166664	4.75	12.208333	0.0	10.5952425	4.9166665	181.95934391021729
66	3.778529	0.5659829	4.372115	1.8724458	107.916664	-0.006985634	0.27261832	2.0416372	0.073102124	0.36367524	0.65000004	0.0	0.48333335	0.45000002	1.9764795	136.0	97.166664	4.875	10.75	0.0	9.31324	5.125	177.2465362548828
67	3.878762	0.33794975	4.326581	2.7222223	105.458336	-0.008091023	0.29280782	2.018547	0.086653434	0.3390756	0.65000004	0.0	0.50625	0.3	2.1712632	115.0	94.541664	4.9583335	10.916667	0.0	8.74389	5.2916665	176.8173520565033
68	3.720127	0.6550059	4.5232325	1.55	128.16667	0.021262253	0.22391899	2.0082824	0.08294592	0.39652172	0.75	0.05	0.5111111	0.35	2.3550134	151.0	117.791664	4.7916665	10.375	0.0	12.012657	5.0416665	178.5471224784851
69	3.6772263	0.51712775	4.4107866	2.547451	123.416664	0.0021897878	0.20972843	1.9807094	0.062080756	0.34353447	0.75	0.1	0.4227273	0.25	2.1750553	142.0	115.75	4.8333335	7.6666665	0.0	15.762402	5.1666665	182.35259222984314
70	3.67965	0.81802213	4.5111113	1.4533334	130.70833	0.020566514	0.22375445	2.004426	0.07412358	0.42142853	0.8	0.05	0.5777778	0.3	2.0573452	142.0	121.666664	4.6666665	9.041667	0.0	12.771335	5.0833335	180.87996315956116
71	3.7977133	0.58769596	4.6863637	1.9168831	139.58333	-0.007821686	0.212676	2.0335028	0.054014284	0.41422412	0.85	0.05	0.51666665	0.45000002	1.9590514	129.0	129.41667	4.8333335	10.166667	0.0	12.898006	4.9583335	180.50882387161255
72	3.5490122	0.7767152	4.407619	1.4727273	146.58333	0.0023224938	0.22832961	2.0534708	0.056613192	0.38018018	0.75	0.05	0.45625	0.4	2.045631	145.0	136.875	4.625	9.708333	0.0	15.486183	4.8333335	177.64265036582947
73	3.5818412	0.690456	4.291282	1.8141177	144.16667	-0.0076303612	0.21991974	2.0675175	0.060390394	0.3199115	0.7	0.0	0.44	0.35	2.0525737	136.0	134.79167	4.7083335	9.375	0.0	15.045394	4.9583335	178.7362997531891
